s_px,X_px,Y_px,x_image_px,y_image_px,segment
0.000000,0.000000,0.000000,242.000000,1218.000000,A lower straight
5.590361,0.000000,5.590361,242.000000,1212.409639,A lower straight
11.180723,0.000000,11.180723,242.000000,1206.819277,A lower straight
16.771084,0.000000,16.771084,242.000000,1201.228916,A lower straight
22.361446,0.000000,22.361446,242.000000,1195.638554,A lower straight
27.951807,0.000000,27.951807,242.000000,1190.048193,A lower straight
33.542169,0.000000,33.542169,242.000000,1184.457831,A lower straight
39.132530,0.000000,39.132530,242.000000,1178.867470,A lower straight
44.722892,0.000000,44.722892,242.000000,1173.277108,A lower straight
50.313253,0.000000,50.313253,242.000000,1167.686747,A lower straight
55.903614,0.000000,55.903614,242.000000,1162.096386,A lower straight
61.493976,0.000000,61.493976,242.000000,1156.506024,A lower straight
67.084337,0.000000,67.084337,242.000000,1150.915663,A lower straight
72.674699,0.000000,72.674699,242.000000,1145.325301,A lower straight
78.265060,0.000000,78.265060,242.000000,1139.734940,A lower straight
83.855422,0.000000,83.855422,242.000000,1134.144578,A lower straight
89.445783,0.000000,89.445783,242.000000,1128.554217,A lower straight
95.036145,0.000000,95.036145,242.000000,1122.963855,A lower straight
100.626506,0.000000,100.626506,242.000000,1117.373494,A lower straight
106.216867,0.000000,106.216867,242.000000,1111.783133,A lower straight
111.807229,0.000000,111.807229,242.000000,1106.192771,A lower straight
117.397590,0.000000,117.397590,242.000000,1100.602410,A lower straight
122.987952,0.000000,122.987952,242.000000,1095.012048,A lower straight
128.578313,0.000000,128.578313,242.000000,1089.421687,A lower straight
134.168675,0.000000,134.168675,242.000000,1083.831325,A lower straight
139.759036,0.000000,139.759036,242.000000,1078.240964,A lower straight
145.349398,0.000000,145.349398,242.000000,1072.650602,A lower straight
150.939759,0.000000,150.939759,242.000000,1067.060241,A lower straight
156.530120,0.000000,156.530120,242.000000,1061.469880,A lower straight
162.120482,0.000000,162.120482,242.000000,1055.879518,A lower straight
167.710843,0.000000,167.710843,242.000000,1050.289157,A lower straight
173.301205,0.000000,173.301205,242.000000,1044.698795,A lower straight
178.891566,0.000000,178.891566,242.000000,1039.108434,A lower straight
184.481928,0.000000,184.481928,242.000000,1033.518072,A lower straight
190.072289,0.000000,190.072289,242.000000,1027.927711,A lower straight
195.662651,0.000000,195.662651,242.000000,1022.337349,A lower straight
201.253012,0.000000,201.253012,242.000000,1016.746988,A lower straight
206.843373,0.000000,206.843373,242.000000,1011.156627,A lower straight
212.433735,0.000000,212.433735,242.000000,1005.566265,A lower straight
218.024096,0.000000,218.024096,242.000000,999.975904,A lower straight
223.614458,0.000000,223.614458,242.000000,994.385542,A lower straight
229.204819,0.000000,229.204819,242.000000,988.795181,A lower straight
234.795181,0.000000,234.795181,242.000000,983.204819,A lower straight
240.385542,0.000000,240.385542,242.000000,977.614458,A lower straight
245.975904,0.000000,245.975904,242.000000,972.024096,A lower straight
251.566265,0.000000,251.566265,242.000000,966.433735,A lower straight
257.156627,0.000000,257.156627,242.000000,960.843373,A lower straight
262.746988,0.000000,262.746988,242.000000,955.253012,A lower straight
268.337349,0.000000,268.337349,242.000000,949.662651,A lower straight
273.927711,0.000000,273.927711,242.000000,944.072289,A lower straight
279.518072,0.000000,279.518072,242.000000,938.481928,A lower straight
285.108434,0.000000,285.108434,242.000000,932.891566,A lower straight
290.698795,0.000000,290.698795,242.000000,927.301205,A lower straight
296.289157,0.000000,296.289157,242.000000,921.710843,A lower straight
301.879518,0.000000,301.879518,242.000000,916.120482,A lower straight
307.469880,0.000000,307.469880,242.000000,910.530120,A lower straight
313.060241,0.000000,313.060241,242.000000,904.939759,A lower straight
